Soil_Type,Soil_pH,Soil_Moisture,Temperature,Humidity,Rainfall,Crop_Yield
Clay,6.3,17.8,29.4,60.3,123.6,3.95
Sandy,6.09,22.6,35.9,57.9,83.3,4.07
Sandy,6.86,20.9,25.6,63.1,155.6,4.08
Loamy,5.92,15.5,33.7,51.6,215.9,3.94
Sandy,7.1,19.8,29.8,71.3,91.1,3.47
Loamy,7.11,18.7,29.8,61.5,120.1,2.61
Sandy,6.33,11.9,26.9,54.5,145.7,2.67
Sandy,6.07,13.5,30.7,54.0,196.3,3.63
Loamy,6.07,15.1,25.9,59.0,117.6,3.79
Loamy,6.46,12.9,31.8,64.3,128.1,2.69
Sandy,6.94,12.3,27.7,60.4,133.8,3.26
Clay,6.22,10.9,33.0,64.9,133.1,2.65
Loamy,6.72,23.1,31.7,67.6,108.0,4.23
Clay,6.26,14.3,33.2,68.7,208.2,2.43
Clay,6.11,14.4,33.2,60.0,191.0,3.62
Clay,5.55,13.1,27.2,67.9,216.6,3.38
Loamy,5.51,17.1,25.0,53.5,131.9,4.02
Clay,5.95,17.7,29.0,62.8,86.3,4.37
Loamy,6.31,13.1,35.1,51.8,96.2,4.02
Clay,7.2,19.1,31.4,56.1,130.0,2.98
Sandy,7.1,20.8,33.0,64.6,207.5,3.11
Sandy,6.03,15.6,34.7,68.5,217.4,2.74
Loamy,5.99,18.8,35.0,52.4,195.1,3.22
Sandy,5.95,17.5,30.8,55.2,113.4,3.86
Sandy,6.18,12.9,31.0,74.8,172.4,3.39
Clay,6.5,21.0,34.4,58.4,163.5,3.1
Loamy,6.38,22.0,33.9,57.1,195.3,3.23
Clay,5.94,19.7,32.7,52.1,151.4,4.0
Clay,5.76,14.9,31.6,67.4,124.5,2.17
Clay,5.53,23.9,31.8,62.7,82.7,3.82
Clay,5.81,16.8,29.0,53.9,191.3,3.47
Clay,6.91,14.0,34.3,65.8,154.2,3.57
Clay,5.99,16.1,31.8,63.1,154.8,3.42
Clay,6.44,20.4,27.5,64.1,214.0,2.68
Loamy,6.68,22.7,27.6,74.9,148.1,3.71
Sandy,7.27,15.3,34.5,50.7,124.2,3.47
Clay,7.28,13.5,31.9,72.9,127.6,3.95
Clay,6.99,19.4,29.4,71.0,81.6,4.02
Clay,5.57,23.8,27.1,60.4,97.1,2.2
Clay,6.65,12.7,31.7,72.0,86.1,3.79
Clay,7.07,22.0,27.0,66.2,114.1,3.64
Clay,5.53,17.1,30.2,72.2,89.1,3.43
Sandy,6.6,22.0,32.5,64.9,126.4,3.54
Sandy,7.22,17.6,31.2,55.4,97.7,2.56
Clay,6.45,15.7,35.1,64.4,208.5,2.9
Sandy,5.51,20.5,25.4,54.5,211.4,3.38
Loamy,5.52,23.5,28.1,53.5,164.5,3.93
Clay,6.33,14.8,25.6,66.4,192.8,2.22
Loamy,5.81,16.9,27.1,73.7,174.8,3.29
Loamy,6.83,13.4,26.4,64.7,193.6,4.3
Clay,6.92,12.8,33.1,69.9,169.6,3.43
Sandy,5.86,21.7,29.1,54.2,140.2,3.3
Loamy,7.28,13.0,35.2,66.4,202.3,2.85
Clay,6.38,21.9,25.3,68.3,141.3,2.72
Loamy,5.79,16.4,32.2,51.0,135.5,2.47
Loamy,7.03,24.9,35.7,52.4,167.4,4.64
Loamy,7.08,13.0,26.9,69.5,211.3,3.63
Loamy,6.78,11.4,29.9,61.0,141.9,3.95
Sandy,7.21,11.1,32.7,60.1,160.5,4.69
Loamy,6.97,22.5,32.0,73.0,148.9,3.76
Loamy,7.26,16.6,31.2,74.8,207.4,2.32
Loamy,6.37,10.0,28.6,69.1,174.7,3.39
Sandy,7.0,23.1,33.0,69.8,138.7,3.95
Loamy,7.5,23.2,32.2,55.2,165.0,2.65
Loamy,6.95,22.1,26.8,54.8,101.8,4.15
Sandy,5.73,13.7,35.6,74.5,127.9,4.42
Sandy,6.54,15.6,31.1,67.4,183.1,3.67
Sandy,6.67,21.2,30.8,67.2,158.7,3.12
Loamy,5.85,17.3,34.3,57.2,124.0,3.42
Sandy,7.43,12.3,32.0,72.2,130.7,3.32
Sandy,5.85,13.6,25.8,51.1,193.4,3.11
Loamy,5.86,24.6,30.6,56.9,155.7,3.25
Sandy,7.33,12.3,33.6,54.5,113.4,3.12
Loamy,6.43,20.9,32.7,67.8,121.6,2.82
Clay,5.63,17.2,35.7,67.9,145.5,2.7
Sandy,6.7,21.2,25.3,63.4,186.8,4.77
Clay,6.7,19.9,27.9,50.1,219.6,3.28
Loamy,5.63,16.6,31.0,71.8,106.0,2.14
Sandy,7.45,15.3,31.8,73.9,185.7,4.29
Loamy,6.59,21.3,28.0,55.1,166.4,3.06
Clay,6.62,14.8,34.1,71.1,154.4,3.08
Loamy,6.54,21.8,26.8,74.3,215.3,4.11
Sandy,6.72,20.2,25.0,58.2,125.2,2.57
Sandy,6.03,18.7,35.5,54.6,104.8,3.03
Clay,6.07,15.5,29.3,74.4,202.9,3.32
Loamy,6.52,13.1,35.5,51.5,89.6,4.24
Sandy,7.11,20.7,28.1,56.9,194.4,3.74
Clay,5.6,11.4,25.7,68.6,162.5,4.14
Sandy,6.71,24.6,33.5,65.4,103.0,3.86
Sandy,7.11,24.7,34.2,67.1,111.8,2.76
Loamy,5.81,12.0,30.4,67.7,101.8,4.19
Sandy,5.53,11.6,25.8,67.2,180.6,4.29
Loamy,6.13,16.2,32.2,58.6,100.6,4.57
Sandy,6.68,24.5,27.0,57.8,175.4,3.63
Clay,5.78,16.0,34.3,60.7,97.9,3.96
Sandy,6.35,15.5,28.0,70.2,192.3,3.86
Loamy,6.6,20.6,34.3,73.5,208.7,3.48
Loamy,6.7,12.7,29.7,61.4,158.3,3.52
Clay,6.05,15.4,31.6,52.1,215.3,4.18
Sandy,6.3,14.4,33.7,73.5,134.7,4.43
Sandy,7.06,19.0,25.4,52.0,114.2,3.17
Clay,7.38,12.4,34.0,54.0,104.8,2.7
Sandy,7.22,18.2,26.5,71.7,147.1,3.13
Sandy,6.63,22.9,28.9,63.8,98.3,3.57
Loamy,6.32,17.7,30.2,58.8,202.6,3.37
Sandy,6.17,20.3,34.8,73.3,189.9,3.7
Sandy,5.75,11.1,25.2,74.0,158.7,3.13
Clay,5.71,16.7,31.2,58.3,181.0,3.43
Clay,6.88,11.4,32.1,71.7,87.0,4.91
Loamy,6.02,19.0,28.5,67.0,108.5,2.61
Sandy,6.01,14.2,28.2,56.9,167.0,3.89
Sandy,7.5,14.3,30.4,73.5,146.8,2.94
Sandy,5.88,11.2,27.1,51.6,164.6,3.05
Loamy,5.8,14.7,30.1,57.9,92.5,2.34
Loamy,5.7,17.6,33.4,59.9,171.3,3.63
Clay,6.66,18.8,34.3,67.3,192.5,2.38
Loamy,6.76,11.0,29.2,51.0,156.5,3.45
Sandy,6.23,19.8,31.8,72.2,130.0,3.96
Sandy,6.57,17.3,25.0,66.5,104.5,3.56
Loamy,7.08,18.1,31.1,56.9,117.1,4.15
Sandy,7.14,22.5,35.7,66.5,153.2,3.03
Sandy,7.42,15.1,28.4,63.4,115.8,2.31
Loamy,7.15,12.6,31.5,58.4,188.9,2.66
Loamy,6.63,18.3,33.4,50.7,98.4,3.62
Sandy,5.86,24.2,31.7,63.8,152.3,2.12
Sandy,5.7,17.8,29.6,52.1,149.4,3.0
Sandy,5.61,22.5,26.7,70.3,99.4,2.93
Clay,6.83,21.4,30.1,52.2,219.3,3.12
Clay,7.12,17.8,28.2,60.7,195.2,4.1
Clay,6.52,19.7,32.7,60.9,134.1,3.86
Loamy,5.61,16.1,29.9,63.9,175.9,4.02
Clay,6.57,18.0,34.3,51.0,180.3,3.78
Loamy,7.37,17.6,27.1,55.1,171.2,3.52
Loamy,6.7,20.6,29.6,55.0,140.5,3.2
Clay,7.12,16.1,31.1,65.0,203.9,4.21
Clay,7.1,11.5,26.4,56.6,188.0,2.62
Clay,7.36,21.8,31.5,53.6,155.9,2.79
Sandy,7.04,20.3,28.2,50.5,80.4,2.58
Clay,7.0,24.3,27.5,71.0,111.3,2.61
Sandy,5.97,16.4,26.6,74.3,151.2,2.35
Loamy,5.62,11.2,28.8,67.6,205.9,2.13
Sandy,6.54,11.8,35.2,60.3,168.0,3.72
Clay,5.75,21.6,25.3,53.1,138.5,2.87
Loamy,7.42,11.0,34.4,61.9,86.7,2.73
Loamy,6.08,23.6,29.4,61.4,163.6,3.26
Loamy,7.21,14.2,31.2,60.5,129.1,2.8
Sandy,6.28,23.5,30.6,59.5,155.2,3.95
Clay,6.15,21.6,35.2,62.4,187.3,3.63
Loamy,7.37,23.1,33.5,51.8,192.5,3.07
Loamy,6.23,13.2,35.8,51.0,201.0,2.64
Loamy,6.28,18.9,33.7,51.6,169.0,3.88
Sandy,5.71,11.4,28.3,55.0,206.8,2.67
Sandy,6.84,13.0,35.6,57.0,176.7,2.75
Clay,6.08,14.6,35.8,54.2,189.7,3.33
Sandy,6.67,21.1,26.4,56.3,176.0,3.7
Loamy,6.68,10.4,34.9,54.6,202.1,3.06
Clay,6.94,23.5,32.3,53.8,111.2,2.37
Loamy,6.99,11.1,35.1,57.3,186.4,4.43
Loamy,6.53,15.6,35.1,59.9,96.4,4.36
Sandy,6.16,11.2,34.8,68.6,92.9,3.29
Clay,7.17,21.5,34.7,73.9,148.8,4.37
Sandy,6.12,12.1,26.3,73.0,122.0,3.64
Sandy,6.52,23.3,26.6,61.9,158.9,2.75
Clay,6.3,18.0,26.3,61.5,174.9,3.4
Loamy,7.21,24.2,26.0,53.1,111.7,3.43
Loamy,6.36,14.4,28.9,74.3,178.0,3.61
Clay,6.27,16.8,32.5,69.0,219.4,2.21
Loamy,6.88,20.4,28.9,71.2,186.4,3.15
Clay,6.7,22.5,32.9,55.9,104.3,4.36
Clay,5.71,16.3,34.0,60.0,168.7,4.6
Sandy,6.52,23.4,32.3,52.6,81.3,4.32
Clay,6.97,11.8,30.1,73.5,145.8,3.85
Sandy,7.48,20.6,28.3,57.1,154.7,4.52
Loamy,6.76,15.2,26.4,64.9,216.1,2.46
Loamy,6.24,11.5,30.4,53.8,183.2,3.38
Loamy,5.95,15.8,32.9,70.1,178.8,4.43
Loamy,7.25,23.2,31.0,54.7,154.5,3.0
Sandy,7.13,24.7,32.9,70.2,151.8,4.88
Loamy,5.97,15.9,28.7,60.0,218.9,2.7
Clay,5.9,23.3,25.7,64.4,83.0,3.74
Clay,6.93,17.6,33.5,56.7,122.4,4.18
Clay,6.13,20.8,27.4,72.1,98.7,2.74
Sandy,6.11,10.7,31.8,69.0,124.1,3.31
Loamy,5.8,18.4,33.8,58.9,144.9,3.56
Loamy,6.03,11.1,26.5,64.6,127.9,3.98
Loamy,6.36,14.0,31.6,53.2,214.8,3.38
Sandy,6.97,18.5,32.6,54.0,175.3,4.4
Clay,6.17,22.1,33.2,63.3,181.9,3.63
Clay,6.16,18.4,26.6,66.0,183.9,2.52
Loamy,6.07,24.0,34.1,63.9,205.9,4.49
Clay,6.46,22.2,26.0,64.0,187.5,3.66
Clay,5.86,12.3,30.7,68.6,82.3,2.92
Sandy,6.47,15.8,29.9,72.6,116.6,3.38
Sandy,6.91,20.0,27.4,59.7,218.5,2.73
Sandy,5.56,24.1,28.3,63.4,171.3,2.34
Sandy,5.52,24.8,26.8,72.3,89.5,2.98
Loamy,5.65,21.4,29.7,61.6,145.3,2.74
Sandy,6.57,18.6,25.4,61.1,217.3,3.29
Clay,7.21,21.3,34.8,69.2,219.0,4.62
Loamy,5.51,14.1,26.8,71.9,140.5,4.13
Clay,7.37,14.3,34.7,68.4,205.0,4.03
Clay,5.71,19.8,34.5,52.5,162.9,4.27
Clay,7.18,23.1,30.0,61.6,151.3,4.35
Sandy,6.47,24.5,30.5,55.3,137.7,2.47
Sandy,6.82,15.1,28.3,57.9,204.9,2.53
Loamy,6.52,21.9,36.0,61.7,167.0,3.71
Loamy,6.45,22.8,32.4,55.5,126.7,4.34
Sandy,7.17,19.3,35.5,62.9,148.9,3.17
Clay,7.01,15.2,29.6,66.1,142.2,4.46
Loamy,6.47,19.3,34.7,71.9,143.2,2.45
Sandy,5.72,18.8,29.9,55.3,123.6,3.19
Sandy,5.73,19.1,34.5,57.8,168.6,4.33
Sandy,7.1,19.3,26.4,60.1,87.3,3.45
Clay,6.56,22.7,32.0,55.6,204.1,3.16
Sandy,6.46,12.6,32.5,58.3,138.2,4.05
Sandy,6.86,15.5,32.2,72.1,192.1,2.23
Sandy,7.22,18.8,29.9,53.5,182.1,2.48
Sandy,6.76,14.2,32.5,61.1,146.1,3.15
Loamy,7.03,24.7,27.6,57.8,107.8,3.97
Loamy,7.03,13.9,31.6,51.9,158.7,3.14
Sandy,6.21,17.0,31.1,52.4,212.7,2.89
Clay,6.05,23.2,28.5,69.6,106.0,3.77
Loamy,7.1,11.2,33.6,71.3,115.8,2.21
Sandy,6.25,22.3,25.9,68.5,219.0,4.39
Loamy,7.31,18.6,26.9,63.5,205.0,3.47
Loamy,5.64,10.5,30.2,69.3,156.9,2.8
Clay,5.62,23.5,34.8,53.8,177.3,4.15
Sandy,7.35,10.6,31.3,69.5,142.0,3.21
Sandy,6.8,17.7,34.3,60.6,136.6,2.25
Clay,6.26,10.7,30.7,68.8,142.0,2.91
Clay,7.01,11.1,33.6,55.7,138.0,2.6
Sandy,6.84,23.3,28.6,70.8,174.6,3.25
Sandy,6.56,21.5,34.0,64.2,126.3,3.06
Clay,5.7,13.0,29.4,50.2,103.9,2.18
Loamy,7.12,19.3,31.1,63.0,178.9,4.09
Loamy,7.23,21.9,26.9,57.8,84.4,2.36
Clay,5.84,23.3,35.1,51.4,180.6,3.87
Loamy,7.2,17.0,32.7,61.2,116.9,4.22
Clay,7.26,23.5,34.4,57.8,106.6,2.23
Loamy,6.6,17.6,27.3,55.1,133.1,3.94
Loamy,6.81,20.3,25.7,58.7,96.4,3.87
Sandy,6.26,24.7,28.7,54.5,133.8,4.05
Sandy,6.06,13.5,30.7,57.5,94.3,3.64
Loamy,6.94,12.5,33.8,52.9,147.7,3.48
Loamy,7.22,15.1,29.4,52.1,104.7,3.45
Sandy,6.81,12.5,28.0,72.8,98.2,2.34
Sandy,6.52,14.3,29.1,72.6,161.1,3.12
Sandy,5.82,21.1,32.7,70.7,167.5,4.15
Clay,5.61,17.2,28.7,55.8,80.8,2.38
Loamy,6.39,15.6,35.8,68.1,134.3,2.65
Sandy,5.6,15.5,26.9,64.7,90.9,4.04
Loamy,6.64,12.9,33.3,51.3,183.4,2.46
Clay,6.27,16.7,31.5,72.5,175.4,3.09
Clay,7.01,19.4,27.6,74.9,87.0,3.89
Sandy,6.11,12.1,33.3,67.7,211.8,3.98
Clay,6.69,24.6,29.9,55.8,214.4,3.33
Loamy,6.58,16.6,32.5,63.9,126.9,3.36
Sandy,5.51,24.2,32.3,52.7,98.3,3.49
Loamy,5.64,12.0,26.2,57.5,96.0,2.88
Loamy,6.08,21.5,34.2,67.9,197.7,3.51
Clay,7.26,19.3,32.5,57.5,144.3,4.76
Clay,5.79,22.3,33.6,53.7,81.3,4.0
Clay,6.92,19.0,29.9,50.2,209.5,2.11
Clay,7.45,24.4,27.1,64.3,163.0,3.73
Clay,7.08,19.4,28.6,74.2,176.7,4.29
Sandy,5.99,21.8,34.9,62.1,195.3,2.58
Loamy,7.32,23.2,35.3,55.3,194.6,4.22
Loamy,5.69,20.7,30.3,61.6,90.6,2.59
Loamy,6.44,17.9,28.3,65.1,160.4,3.58
Loamy,7.28,14.1,33.0,70.0,177.5,4.45
Clay,6.78,22.8,33.4,61.3,92.0,4.39
Loamy,6.33,17.2,34.0,54.3,111.1,3.15
Sandy,6.09,19.3,25.3,54.7,135.4,3.73
Sandy,6.25,11.2,25.1,72.5,204.1,2.79
Loamy,6.52,17.5,28.9,55.9,199.1,3.26
Loamy,6.14,20.5,26.7,68.2,189.5,3.05
Sandy,7.44,18.8,33.9,56.7,218.6,3.39
Sandy,7.37,16.7,30.9,68.0,114.0,3.74
Clay,7.24,13.4,34.1,52.0,145.5,2.61
Sandy,6.34,14.6,26.9,55.2,142.5,3.07
Clay,6.88,20.5,31.9,60.2,175.1,3.35
Clay,7.31,13.4,31.4,62.9,199.0,4.32
Clay,7.2,19.3,28.7,58.8,148.8,4.4
Clay,6.33,18.8,30.7,64.3,148.8,3.7
Clay,5.72,24.6,31.5,58.1,165.2,3.32
Loamy,5.65,10.9,34.8,67.0,183.9,2.32
Sandy,6.65,11.6,25.6,62.8,108.2,2.82
Clay,6.79,17.6,34.1,67.6,214.7,3.93
Sandy,7.2,17.9,35.8,60.8,92.9,3.42
Sandy,6.09,10.6,33.0,71.9,83.2,3.7
Clay,5.83,22.4,33.1,59.6,130.2,3.54
Loamy,6.26,17.4,27.4,57.7,178.2,4.74
Clay,6.21,15.2,30.8,63.9,216.9,3.13
Loamy,5.76,14.8,32.8,62.7,210.6,2.24
Sandy,6.84,22.9,31.6,63.0,176.4,2.93
Loamy,6.52,13.0,29.2,69.9,141.1,3.27
Loamy,6.94,12.4,35.3,64.7,163.4,4.4
Loamy,6.21,13.2,30.7,72.1,215.6,2.49
Sandy,6.15,19.4,35.7,65.5,117.2,3.35
Sandy,6.45,22.2,31.2,50.5,147.0,3.88
Loamy,7.25,15.0,33.7,71.8,177.0,2.17
Loamy,5.58,12.6,33.2,71.0,81.4,2.21
Clay,7.11,13.1,32.3,51.2,133.4,3.32
Loamy,6.24,19.3,25.2,53.1,159.5,3.26
Clay,7.21,13.7,25.9,63.9,206.1,2.73
Loamy,7.1,23.2,31.4,51.1,218.9,2.45
Clay,6.2,11.6,35.0,60.3,157.9,4.52
Sandy,6.89,10.5,31.6,74.4,212.2,4.3
Loamy,5.82,11.3,27.6,54.3,93.9,4.11
Loamy,7.29,22.7,28.5,55.2,178.2,3.25
Loamy,6.31,19.8,31.9,66.9,136.1,4.06
Loamy,6.41,24.4,31.6,51.1,185.1,3.96
Clay,6.91,15.0,35.5,70.5,201.5,2.77
Loamy,7.14,13.2,30.8,55.0,87.5,4.0
Sandy,5.97,18.4,28.9,63.3,211.0,3.65
Sandy,6.82,18.1,30.8,56.2,89.5,4.22
Loamy,6.28,18.9,33.6,66.5,185.5,4.6
Sandy,6.24,15.2,30.9,64.7,89.7,3.15
Loamy,6.88,10.1,28.6,73.7,200.6,3.57
Loamy,6.27,10.5,28.7,61.1,108.7,4.03
Sandy,6.19,20.0,33.3,71.9,140.8,4.12
Loamy,7.17,17.8,25.7,64.4,210.6,3.2
Sandy,5.7,22.3,28.0,72.9,190.9,4.25
Clay,6.85,14.5,26.7,57.3,190.0,3.96
Loamy,6.0,22.2,35.4,63.7,186.9,4.64
Clay,5.53,16.4,26.0,59.8,159.7,4.28
Sandy,5.83,11.5,33.3,51.6,213.2,2.49
Clay,6.71,24.7,31.9,64.4,196.4,4.19
Clay,6.92,17.7,32.0,69.9,141.6,2.64
Sandy,5.54,19.4,33.4,63.9,184.0,3.99
Clay,5.57,20.1,29.4,57.0,219.7,3.06
Clay,7.31,15.4,29.4,56.6,201.9,4.36
Sandy,5.65,21.2,28.2,55.9,80.2,2.96
Clay,7.29,23.1,31.6,74.5,183.3,2.86
Sandy,5.96,15.8,35.2,60.0,205.7,3.77
Clay,6.98,19.9,35.2,57.9,125.9,4.01
Sandy,6.12,21.4,32.7,60.5,216.8,3.78
Sandy,7.22,12.9,35.0,52.9,136.2,3.54
Clay,6.9,15.0,35.6,54.9,139.0,4.71
Clay,6.3,11.6,33.7,62.7,102.5,4.74
Clay,5.65,19.0,29.5,70.0,93.5,3.67
Loamy,6.97,22.0,30.3,71.9,155.1,3.41
Loamy,6.73,19.2,35.2,71.6,164.4,2.22
Loamy,5.51,12.7,32.4,73.6,131.4,3.19
Sandy,5.52,18.2,34.0,53.1,164.9,4.05
Clay,7.12,22.5,26.3,51.0,135.3,2.53
Sandy,6.02,14.5,27.1,52.6,201.5,3.63
Loamy,6.77,22.5,28.8,65.0,213.5,3.22
Clay,6.41,21.8,27.1,63.9,163.1,4.06
Sandy,7.23,10.3,35.0,66.8,197.9,3.39
Clay,7.33,13.6,27.4,59.3,199.5,4.16
Sandy,7.49,18.1,31.1,59.8,179.9,2.93
Clay,5.81,20.8,25.9,63.6,106.9,3.06
Loamy,7.23,23.2,26.7,52.0,101.7,2.72
Loamy,6.03,19.6,27.7,70.0,208.7,2.83
Clay,6.68,15.7,35.8,73.1,117.1,4.6
Sandy,6.51,12.8,33.8,59.7,114.5,4.08
Loamy,5.54,21.4,32.4,68.5,103.3,3.21
Loamy,7.37,13.1,35.1,63.7,153.8,4.4
Loamy,5.66,20.4,35.5,55.9,174.8,4.5
Clay,6.88,12.7,30.0,51.7,174.7,3.9
Clay,7.07,11.4,28.6,56.1,116.5,3.35
Sandy,7.09,13.8,28.5,65.1,93.3,3.73
Sandy,5.77,14.3,25.4,51.0,123.4,3.81
Sandy,6.4,19.7,28.1,70.9,150.5,4.06
Clay,7.16,12.4,28.9,74.3,165.7,2.51
Clay,6.11,24.0,25.4,52.1,117.9,4.43
Sandy,6.44,18.3,34.7,56.2,105.6,4.22
Sandy,6.05,17.4,34.3,66.9,197.8,3.58
Clay,6.43,16.5,27.8,70.2,200.1,3.09
Sandy,7.28,18.5,33.8,58.6,119.2,3.16
Loamy,6.41,10.3,33.8,62.9,158.4,3.92
Clay,6.61,24.9,28.7,72.3,141.6,3.61
Sandy,6.31,18.4,32.7,59.6,99.9,2.77
Clay,6.42,10.5,28.2,52.0,211.7,2.89
Loamy,5.53,18.8,25.8,74.9,81.4,3.16
Clay,6.07,16.6,30.6,54.5,106.3,4.79
Clay,6.37,10.4,29.8,51.2,128.4,2.4
Clay,6.77,23.9,26.5,60.3,199.9,4.27
Clay,6.4,10.2,30.4,53.0,190.4,2.2
Loamy,6.18,18.7,35.4,74.5,161.2,2.91
Clay,6.28,24.4,33.0,59.5,177.3,3.93
Clay,5.98,13.6,33.1,70.6,127.7,3.63
Sandy,7.35,13.8,33.3,54.4,211.7,3.74
Clay,6.54,10.0,33.2,53.5,83.8,3.21
Sandy,5.53,11.0,25.2,66.2,94.1,3.32
Loamy,5.54,10.7,35.2,72.7,209.6,2.57
Loamy,7.45,22.3,34.1,52.9,212.3,3.16
Loamy,5.94,22.6,28.0,64.7,148.7,2.93
Loamy,7.11,20.9,31.1,52.1,160.7,4.63
Sandy,5.62,15.3,31.8,70.3,206.4,3.66
Clay,7.34,22.3,26.5,72.7,199.5,3.92
Loamy,7.25,18.1,27.8,65.7,200.7,2.81
Clay,6.64,14.6,25.3,67.2,132.0,3.1
Sandy,5.52,16.6,34.5,51.4,196.3,3.74
Sandy,6.02,11.0,25.3,51.8,89.7,2.66
Sandy,6.31,24.2,28.5,54.5,148.2,3.19
Loamy,6.42,19.3,25.9,56.8,113.2,3.32
Clay,6.1,21.0,33.6,69.0,85.0,3.51
Clay,5.57,20.1,35.2,60.9,166.4,4.05
Clay,6.68,20.0,31.2,52.0,90.7,3.25
Sandy,6.55,10.3,26.5,71.3,96.8,3.64
Loamy,6.07,17.9,31.1,74.8,91.4,2.83
Sandy,5.58,22.3,33.5,61.4,216.5,3.35
Sandy,7.49,10.7,32.9,62.8,85.5,2.71
Clay,6.46,24.3,33.2,52.0,117.8,3.6
Sandy,7.01,16.4,28.1,59.6,171.3,3.95
Clay,6.4,14.3,25.8,59.3,195.3,2.73
Loamy,5.59,18.0,26.6,74.1,165.1,3.13
Clay,6.12,22.0,35.5,66.5,216.7,3.65
Loamy,6.14,17.1,31.7,69.6,127.3,3.76
Clay,7.18,19.7,33.0,53.2,146.1,3.84
Sandy,6.81,17.5,34.9,60.4,195.0,4.2
Sandy,6.05,19.5,34.4,54.8,175.4,3.05
Loamy,7.44,12.1,27.4,71.5,110.0,3.11
Loamy,6.14,10.6,25.6,53.8,149.8,2.93
Loamy,7.5,12.1,35.2,61.0,216.6,3.79
Clay,7.49,14.3,35.8,51.3,200.8,4.16
Clay,5.88,13.8,31.2,65.9,106.9,2.4
Loamy,6.13,19.2,34.8,62.0,105.2,3.79
Sandy,6.47,16.8,27.5,62.4,196.0,3.25
Clay,6.83,10.6,26.2,52.5,107.8,4.17
Clay,6.56,10.5,30.5,62.8,143.4,4.53
Clay,7.44,11.4,33.9,64.1,105.3,3.98
Loamy,6.95,15.3,32.2,74.1,82.1,3.38
Loamy,5.92,10.1,32.0,50.8,202.6,3.3
Loamy,5.71,17.4,25.2,73.1,189.1,3.41
Loamy,6.88,15.4,28.5,62.0,145.9,3.54
Loamy,5.82,18.3,35.3,55.3,102.3,2.88
Sandy,7.08,20.8,26.5,66.6,192.9,4.47
Sandy,6.12,13.8,33.0,62.9,130.3,3.98
Loamy,6.15,12.4,33.4,55.7,172.7,2.51
Clay,5.52,14.2,33.1,65.7,124.3,4.39
Loamy,6.9,10.0,35.9,61.8,140.5,3.05
Sandy,5.73,11.8,29.5,67.2,155.0,4.54
Sandy,7.05,21.3,32.5,67.2,186.7,2.79
Clay,6.48,13.3,27.1,61.8,196.5,2.85
Sandy,7.07,24.9,29.4,59.8,142.1,3.89
Loamy,6.67,12.5,30.4,51.6,112.6,2.96
Clay,5.66,21.8,27.4,62.3,101.5,4.14
Loamy,7.03,20.6,35.0,56.1,127.7,3.39
Loamy,5.64,14.8,32.9,51.3,192.2,2.93
Clay,6.46,15.0,28.1,58.3,118.4,4.21
Loamy,5.84,18.5,26.5,52.2,86.7,4.45
Sandy,7.0,22.8,28.2,64.5,159.0,2.81
Loamy,7.32,15.8,31.9,62.6,84.7,3.55
Clay,6.61,10.9,34.1,69.8,203.9,2.53
Clay,6.55,15.6,30.5,56.7,174.9,2.44
Clay,7.03,13.1,26.1,59.3,116.0,4.34
Loamy,5.51,24.1,27.7,67.2,145.7,4.23
